tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2846442	Thiyevirus asiocola	Thiyevirus	Fiersviridae	Norzivirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
2846580	Tsecebavirus borborovicinum	Tsecebavirus	Atkinsviridae	Norzivirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
1921123	Nonanavirus nv9NA	Nonanavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2955432	Betabotoulivirus alphaplasmoparae	Betabotoulivirus	Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Riboviria	Viruses			
694003	Betacoronavirus 1	Betacoronavirus	Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
1923425	Shahe isopoda virus 5						Riboviria	Viruses			
2829393	Microbacterium phage Stoor	Dismasvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2956666	Vividuovirus nordenberg	Vividuovirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1923078	Hubei permutotetra-like virus 4						Riboviria	Viruses			
2845759	Dibbivirus PSKM	Dibbivirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2955973	Haloferacalesvirus HJTV2	Haloferacalesvirus	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2955726	Culoivirus faecalis	Culoivirus	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1074304	Mycobacterium virus Liefie	Liefievirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3060381	Moineauvirus SW3	Moineauvirus	Aliceevansviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2845522	Slepowronvirus LPHM00113468	Slepowronvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1972621	Hapavirus mosqueiro	Hapavirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
205876	Avanivirus Che9d	Avanivirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1982295	Pahexavirus PHL152M00	Pahexavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1923277	Hubei tombus-like virus 3						Riboviria	Viruses			
3052735	Rubodvirus argentinaense	Rubodvirus	Phenuiviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
2844003	Condavirus arvihabitans	Condavirus	Fiersviridae	Norzivirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
1923385	Sanxia tombus-like virus 1						Riboviria	Viruses			
2844748	Gredihovirus neohumivivens	Gredihovirus	Steitzviridae	Timlovirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
2712833	Tomato mosaic severe dwarf virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
1853865	Euphorbia caput-medusae latent virus	Capulavirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
1923320	Hubei toti-like virus 9						Riboviria	Viruses			
3048179	Torradovirus lactucae	Torradovirus	Secoviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3052042	Bocaparvovirus primate3	Bocaparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Monodnaviria	Viruses			
3059905	Craquatrovirus PSTCR4	Craquatrovirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2304647	Beiji nairovirus	Orthonairovirus	Nairoviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
1923601	Wenzhou picorna-like virus 17						Riboviria	Viruses			
2844082	Depandovirus solicola	Depandovirus	Fiersviridae	Norzivirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
2844197	Hanrivervirus G292	Hanrivervirus	Drexlerviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1985305	Mooglevirus mordin	Mooglevirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2733606	Drulisvirus myPSH1235	Drulisvirus	Autographiviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1921560	Fernvirus shelly	Fernvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1922757	Beihai zhaovirus-like virus 1						Riboviria	Viruses			
3060697	Serangoonvirus essarone	Serangoonvirus	Kyanoviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2026195	Sweet potato leaf curl Sichuan virus 2	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
1074863	Bat picornavirus 1		Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
2560457	Peduovirus fiAA91ss	Peduovirus	Peduoviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2956091	Kroosvirus kroos	Kroosvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1685763	Lake Sarah-associated circular virus-35							Viruses			
1923195	Hubei sobemo-like virus 10						Riboviria	Viruses			
1705090	Luffa begomovirus betasatellite	Betasatellite	Tolecusatellitidae					Viruses			
2845035	Jupbevirus asiohabitans	Jupbevirus	Fiersviridae	Norzivirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
1922431	Beihai mantis shrimp virus 4						Riboviria	Viruses			
3060751	Tsamsavirus chewbecca	Tsamsavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1196237	Digitaria ciliaris striate mosaic virus	Mastrevirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2955729	Cytorhabdovirus bacopae	Cytorhabdovirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
